Feature Name,Description,Product,User Roles,Surface,Maturity,Evidence (files/routes),Notes
Password Login,"Email/password auth with bcrypt, rate limiting, remember-me (30/90 day sessions)",Shared,"Admin, Office, Engineer, Client",Web,Production,"/api/auth/password/login, serverAuth.ts",Auto-bootstraps first admin from env vars
Magic Link Login,Passwordless email login with 15-min token TTL,Shared,"Admin, Office, Engineer, Client",Web,Production,"/api/auth/magic-link/request, /verify",Via Resend email provider
User Invitation System,"Token-based invites with 7-day expiry, single-use, email-match enforcement",Shared,Admin,Web,Production,"/api/admin/invites, /invite/[token], inviteValidation.ts","Supports admin, office, engineer, client roles"
Forgot Password,Password reset flow,Shared,"Admin, Office, Engineer, Client",Web,Production,"/api/auth/forgot-password, /auth/forgot-password",
Email Verification,Verify email on sign-up or change,Shared,"Admin, Office, Engineer, Client",Web,Production,"/auth/verify-email, /api/auth/resend-verification",
Multi-Company Switching,Switch between company contexts in multi-tenant setup,Shared,"Admin, Office",Web,Production,/api/auth/switch-company,CompanyUser membership model
Role-Based Access Control,"5-role system (admin, office, finance, engineer, client) with capability-based permissions",Shared,Admin,Web,Production,"permissions.ts, middleware.ts","Capabilities: billing.view/manage, invoices.view/manage, planner.manage, etc."
Per-User Permission Overrides,Granular capability overrides per user beyond role defaults,Shared,Admin,Web,Production,/api/admin/users/[userId]/permissions,UserPermission table
Admin Impersonation,Support staff can impersonate users with full audit trail,Shared,Admin,Web,Production,"/api/admin/impersonate/status, impersonation_logs table","Logs IP, user agent, actions taken"
Session Sync,Keep session state consistent across tabs/windows,Shared,"Admin, Office, Engineer, Client",Web,Production,/api/auth/session-sync,60s TTL cache on auth context
Tenant Provisioning,Create new company/tenant with initial setup,Shared,Admin,Web,Production,/api/tenant/provision,Subdomain-based isolation
Subdomain Routing,Custom subdomains per company (company.quantract.co.uk),Shared,Admin,Web,Production,"middleware.ts, /admin/settings/subdomain",Reserved subdomain list enforced
User Onboarding Flow,Step-by-step onboarding for new admin users,CRM,Admin,Web,Functional but rough,"/admin/onboarding, /admin/onboarding/automation",
Profile Completion,Complete user profile after initial signup,Shared,"Admin, Office, Engineer, Client",Web,Production,/api/profile/complete,
Client Onboarding,Guided onboarding for client portal users,CRM,Client,Web,Functional but rough,/client/onboarding,
Engineer Onboarding,Guided onboarding for engineer portal users,CRM,Engineer,Web,Functional but rough,/engineer/onboarding,
Admin Dashboard,"KPI cards, recent activity, revenue metrics, break-even tracker, team overview",CRM,"Admin, Office",Web,Production,"/admin/dashboard, /api/admin/dashboard/summary, /activity, /revenue, /break-even",
Revenue Report,Revenue metrics and trends,CRM,Admin,Web,Production,"/api/admin/reports/revenue, /admin/reports",
Sales Report,Sales conversion and pipeline metrics,CRM,Admin,Web,Production,/api/admin/reports/sales,
Pipeline Report,Sales pipeline/forecast analysis,CRM,Admin,Web,Production,"/api/admin/reports/pipeline, /admin/reports/pipeline",
Profitability Report,Job and client profitability analysis,CRM,Admin,Web,Production,"/api/admin/reports/profitability, /admin/reports/profitability",
Activity Report,Audit log and activity timeline,CRM,Admin,Web,Production,"/api/admin/reports/activity, /admin/reports/activity",
AR Aging Report,Aged receivables breakdown,CRM,Admin,Web,Production,/api/admin/reports/ar-aging,
Engineer Utilisation Report,Engineer time utilization metrics,CRM,Admin,Web,Production,/api/admin/reports/engineer-utilisation,
Quote Win Rate Report,Quote-to-job conversion metrics,CRM,Admin,Web,Production,/api/admin/reports/quote-win-rate,
Tax Summary Report,Tax summary for accounting periods,CRM,Admin,Web,Production,/api/admin/reports/tax-summary,
Time vs Estimate Report,Comparison of tracked time against estimates,CRM,Admin,Web,Production,/api/admin/reports/time-vs-estimate,
Intelligence Dashboard,"Profit forecasts, cost-to-complete, expense reports",CRM,Admin,Web,Incomplete/placeholder,/admin/intelligence,"Marked Phase 3, Coming next — wireframed only"
AI Analytics Dashboard,Advanced AI-powered analytics,CRM,Admin,Web,Incomplete/placeholder,/admin/ai/dashboard,Wireframed only
Enquiry Management,Inbound lead/enquiry tracking with pipeline stages,CRM,"Admin, Office",Web,Production,"/admin/enquiries, /api/admin/enquiries, /api/admin/enquiries/[id]/move-stage",EnquiryEvent audit trail
Public Enquiry Submission,Public-facing enquiry form per tenant,CRM,Client,Web,Production,/api/public/tenants/[tenantSlug]/enquiries,
Quote Management,"Create, edit, duplicate, send, accept/reject quotes with line items",CRM,"Admin, Office",Web,Production,"/admin/quotes, /admin/quotes/new, /api/admin/quotes, QuoteCreateForm.tsx",QuoteRevision versioning
Quote PDF Generation,Branded PDF export of quotes,CRM,"Admin, Client",Web,Production,"/api/admin/quotes/[quoteId]/pdf, renderQuotePdf() in pdf.ts",
Quote Email Delivery,Send quotes to clients via email,CRM,Admin,Web,Production,/api/admin/quotes/[quoteId]/send,Via Resend
Quote Token Sharing,Shareable token-based links for client review,CRM,"Admin, Client",Web,Production,"/api/admin/quotes/[quoteId]/token, /client/quotes/[token]",
Quote-to-Invoice Conversion,Convert accepted quote to invoice,CRM,Admin,Web,Production,/api/admin/quotes/[quoteId]/invoice,
Quote Templates,Reusable quote templates,CRM,Admin,Web,Functional but rough,/api/admin/quote-templates,"API exists, UI unclear"
Quote Summary Stats,Aggregated quote statistics,CRM,Admin,Web,Production,/api/admin/quotes/summary,
Client Quote Portal,"Client views, accepts, signs quotes",CRM,Client,Web,Production,"/client/quotes, /client/quotes/[quoteId], /sign",Token-based access
Deal Pipeline (Kanban),Kanban board for sales opportunities with custom stages,CRM,Admin,Web,Production,"/admin/deals, KanbanBoard.tsx, DealCard.tsx",Hidden on free/trial plans
Deal Stage Management,Configure custom pipeline stages with reordering,CRM,Admin,Web,Production,"/api/admin/deal-stages, /reorder, StageSettingsDialog.tsx",
Activity Logging,"Log calls, emails, meetings, notes against contacts/deals",CRM,"Admin, Office",Web,Production,"/api/admin/activities, ActivityFeed.tsx, ActivityForm.tsx","Types: NOTE, CALL, EMAIL, MEETING, TASK, STAGE_CHANGE"
Lead Capture Configuration,"Configure web forms, API keys, allowed domains for lead capture",CRM,Admin,Web,Production,"/admin/settings/lead-capture, LeadCaptureSettings.tsx","InboundFormConfig, AllowedDomain, InboundIntegrationKey models"
Contact Management,CRUD contacts with client association,CRM,"Admin, Office",Web,Production,"/admin/contacts, ContactForm.tsx, ContactCard.tsx",
Client Management,"CRUD client organizations with addresses, payment terms, SMS consent",CRM,"Admin, Office",Web,Production,"/admin/clients, /admin/clients/new, ClientsPageClient.tsx",Soft-delete with 30s undo
Global Search,"Search across all entities (quotes, invoices, jobs, clients)",CRM,Admin,Web,Production,"/api/admin/search, CommandPalette.tsx",Cmd+K shortcut
Saved Views,Save and load custom filter/sort configurations,CRM,Admin,Web,Production,"/api/admin/saved-views, SaveViewDialog.tsx, SavedViewSelector.tsx",
Job CRUD,"Create, view, edit, soft-delete jobs with undo",CRM,"Admin, Office",Web,Production,"/admin/jobs, /admin/jobs/new, /api/admin/jobs",30-second undo window
Job Detail View,"Full job detail with nested layout (budget, costs, time, snags, certs)",CRM,"Admin, Office",Web,Production,/admin/jobs/[jobId] (with layout.tsx),
Job Stages,Multi-stage project breakdown and tracking,CRM,Admin,Web,Production,/api/admin/jobs/[jobId]/stages,
Job Budget Lines,Budget vs actual tracking per line item,CRM,Admin,Web,Production,/api/admin/jobs/[jobId]/budget-lines,
Job Finance Overview,"Financial summary — costs, revenue, profit",CRM,Admin,Web,Production,/api/admin/jobs/[jobId]/finance-overview,
Job Cost Items,Track expenses and materials against jobs,CRM,Admin,Web,Production,/api/admin/jobs/[jobId]/cost-items,With attachment support
Job Costing Overview,Aggregated costing data per job,CRM,Admin,Web,Production,/api/admin/jobs/[jobId]/costing,
Snag/Defect Management,Track issues and defects on jobs,CRM,"Admin, Engineer",Web,Production,"/api/admin/snag-items, /api/engineer/snag-items, EngineerSnagCard.tsx",
Job Variations,Change orders with client approval workflow,CRM,"Admin, Client, Engineer",Web,Production,"/api/admin/variations, /admin/variations/[variationId]","PDF, email, client decision"
Variation Client Portal,Client views and accepts/rejects variations,CRM,Client,Web,Production,"/client/variations/[token], /api/client/variations/[token]/decision",Token-based
Job Checklists,Attach checklist templates to jobs with item-level tracking,CRM,"Admin, Engineer",Web,Production,/api/jobs/[jobId]/checklists,Gated feature
Checklist Templates,Reusable checklist templates for jobs/certificates,CRM,Admin,Web,Production,"/admin/checklists, /api/admin/checklist-templates",
Engineer Job View,Engineers view their assigned jobs with snags and variations,CRM,Engineer,Web,Production,"/engineer/jobs, /engineer/jobs/[jobId]",
Failed Jobs View,System admin view of failed background jobs,CRM,Admin,Web,Production,"/admin/system/failed-jobs, FailedJobsPageClient.tsx",
Resource Planner,Drag-and-drop resource scheduling view,CRM,"Admin, Office",Web,Production,"/admin/planner, /api/admin/planner, /move",
Admin Schedule,Calendar view of scheduled work,CRM,"Admin, Office",Web,Production,"/admin/schedule, /api/admin/schedule",
Engineer Schedule,Engineer's personal schedule/calendar,CRM,Engineer,Web,Production,"/engineer/schedule, /api/engineer/schedule",
Timesheet Management,Weekly timesheet submission and admin approval/rejection,CRM,"Admin, Engineer",Web,Production,"/admin/timesheets, /api/admin/timesheets/[id]/approve, /reject",
Time Entry Tracking,Individual time entries with breaks,CRM,"Admin, Engineer",Web,Production,"/api/admin/jobs/[jobId]/time-entries, /api/engineer/time-entries",
Live Work Timer,Start/stop timer for engineers on jobs,CRM,Engineer,Web,Production,"/api/engineer/timer/start, /stop, /active",
Engineer Today View,Daily work summary with active timer,CRM,Engineer,Web,Production,"/engineer/today, TodayClient.tsx",
Invoice Management,"Create, edit, send, track invoices",CRM,"Admin, Office, Finance",Web,Production,"/admin/invoices, /admin/invoices/new, InvoiceAdminDetail.tsx",Soft-delete with undo
Invoice PDF Generation,Branded PDF export of invoices,CRM,"Admin, Client",Web,Production,"/api/admin/invoices/[invoiceId]/pdf, /api/client/invoices/[token]/pdf",
Invoice Email Delivery,Send invoices to clients via email,CRM,Admin,Web,Production,/api/admin/invoices/[invoiceId]/send,
Invoice Payment Reminders,Manual and automatic payment reminder emails,CRM,Admin,Web,Production,"/api/admin/invoices/[invoiceId]/remind, reminderProcessor.ts","First/second/third chase tracking"
Auto-Chase Overdue Invoices,Cron-based automatic invoice chasing,CRM,Admin,Web,Production,"/api/admin/invoices/auto-chase/run, /api/internal/cron/auto-chase-overdue-invoices",Scheduled background job
Stripe Payment Links,Generate Stripe checkout links for client payment,CRM,"Admin, Client",Web,Production,/api/admin/invoices/[invoiceId]/payment-link,
Client Invoice Payment,Client-facing payment flow via Stripe checkout,CRM,Client,Web,Production,"/client/invoices/[token], /api/client/invoices/[token]/pay",Token-based
Payment Receipt Download,Client downloads payment receipts as PDF,CRM,Client,Web,Production,/api/client/invoices/[token]/receipts/[paymentId]/pdf,
Client Invoice Portal,Client views invoices and payment history,CRM,Client,Web,Production,"/client/invoices, /api/client/inbox/invoices",
Invoice Attachments,Attach files to invoices,CRM,"Admin, Client",Web,Production,/api/client/invoices/[token]/attachments/[attachmentId],
Agreement Management,Create and manage client agreements with signing,CRM,Admin,Web,Production,/api/admin/agreements/[agreementId]/pdf,
Client Agreement Signing,"Client views, signs, and downloads agreements",CRM,Client,Web,Production,"/client/agreements/[token], /sign, /pdf, /certificate","Token-based, digital signature"
Digital Signature Capture,HTML5 signature pad for agreement/certificate signing,CRM,"Client, Engineer",Web,Production,SignaturePad.tsx,
Certificate Management,Full certificate lifecycle: draft > complete > issue > void/reissue,Certs,Admin,Web,Production,"/admin/certificates, CertificatesPageClient.tsx",v2 system with revisions
Certificate Revision History,Immutable versioned copies with signing hash integrity,Certs,Admin,Web,Production,/api/admin/certificates/[id]/revisions,Cryptographic verification
Certificate PDF Generation,Per-revision PDF generation with regeneration,Certs,"Admin, Client",Web,Production,"/api/admin/certificates/[id]/revisions/[rev]/pdf, /regenerate-pdf",Draft watermark on non-issued
Certificate Issuance,"Issue certificate creating immutable revision with PDF & signing hash",Certs,Admin,Web,Production,"/api/admin/certificates/[id]/issue, certs/issue.ts",
Certificate Reissuance,Amend and reissue previously issued certificates,Certs,Admin,Web,Production,/api/admin/certificates/[id]/reissue,
Certificate Voiding,Void/cancel issued certificates,Certs,Admin,Web,Production,/api/admin/certificates/[id]/void,
Certificate Observations,Add safety observations and findings,Certs,"Admin, Engineer",Web,Production,/api/admin/certificates/[id]/observations,
Certificate Outcomes,Record pass/fail/conditional compliance outcome,Certs,"Admin, Engineer",Web,Production,/api/admin/certificates/[id]/outcome,
Certificate Checklists,Attach compliance checklists to certificates,Certs,Admin,Web,Production,/api/admin/certificates/[id]/checklists,
Certificate Signatures,Digital signature records by role,Certs,"Admin, Engineer, Client",Web,Production,/api/admin/certificates/[id]/signatures,
Certificate Attachments,Supporting file uploads on certificates,Certs,Admin,Web,Production,/api/admin/certificates/[id]/attachments,
Certificate Test Results,Record circuit test data and results,Certs,"Admin, Engineer",Web,Production,CertificateTestResult model,
AI Certificate Suggestions,AI-powered suggestions for certificate completion,Certs,Admin,Web,Experimental,"certs/suggestions.ts, certs/explain.ts",
Engineer Certificate Completion,Engineers complete and sign-off certificates in field,Certs,Engineer,Web,Production,"/engineer/certificates/[certificateId], /api/engineer/certificates/[id]/complete",
Client Certificate Access,Clients view and download their certificates,Certs,Client,Web,Production,"/client/certificates, /api/client/certificates/[id]/pdf",
Batch Certificate Generation,Generate certificates in bulk,Certs,Admin,Web,Functional but rough,/admin/certificates/generate,
EIC Builder,Electrical Installation Certificate builder,Certs,"Admin, Engineer",Web,Production,/apps/certificates/app/eic/,Standalone app (port 3002)
EICR Builder,Electrical Installation Condition Report builder,Certs,"Admin, Engineer",Web,Production,/apps/certificates/app/eicr/,
MWC Builder,Minor Works Certificate builder,Certs,"Admin, Engineer",Web,Production,/apps/certificates/app/mwc/,
Fire Safety Certificate Builder,Fire safety certificate generation,Certs,"Admin, Engineer",Web,Production,/apps/certificates/app/fire/,
EML Certificate Builder,Emergency Lighting certificate builder,Certs,"Admin, Engineer",Web,Production,/apps/certificates/app/eml/,
Certificates Dashboard,Saved certificates listing,Certs,"Admin, Engineer",Web,Production,/apps/certificates/app/dashboard/,With CRM upsell banner
Expense Tracking,"Upload, OCR-parse, and confirm expenses",CRM,"Admin, Office, Finance",Web,Production,"/admin/expenses, /api/admin/expenses/upload, /parse, /confirm",AI/OCR parsing
Supplier Management,CRUD suppliers with expense tracking,CRM,"Admin, Office",Web,Production,"/admin/suppliers, /api/admin/suppliers/summary",
Supplier Bills,Manage incoming supplier invoices with line items,CRM,"Admin, Finance",Web,Production,"/api/admin/supplier-bills, /pdf, /post",
Purchase Orders,Create and manage purchase orders,CRM,Admin,Web,Production,/api/admin/purchase-orders,
Rate Cards,Configure labour billing rates,CRM,Admin,Web,Production,/api/admin/rate-cards,
Company Overheads,Track fixed overhead costs for break-even analysis,CRM,Admin,Web,Production,"CompanyOverhead model, /api/admin/settings/financials",
Break-Even Tracker,Dashboard widget showing break-even progress,CRM,Admin,Web,Production,/api/admin/dashboard/break-even,
Materials / Stock Management,"Inventory items with stock movements (received, used, adjustment)",CRM,Admin,Web,Functional but rough,"/admin/materials, /api/admin/materials/stock-items, /stock-movements",
Subcontractor Management,Manage external contractor records,CRM,Admin,Web,Production,/api/admin/subcontractors,
Xero OAuth Connection,OAuth2 with PKCE for Xero accounting sync,CRM,Admin,Web,Production,"/api/admin/xero/oauth/start, /callback",
Xero Data Export,Export data package for Xero import,CRM,Admin,Web,Production,/api/admin/xero/export-pack,
Xero Invoice CSV Export,Export invoices as CSV for Xero,CRM,Admin,Web,Production,/api/admin/xero/invoices.csv,
Xero Sync Retry,Background retry of failed Xero syncs,CRM,Admin,Web,Production,/api/internal/cron/retry-failed-xero-sync,Cron job
Stripe Subscription Checkout,Create Stripe checkout session for plan upgrade,Shared,Admin,Web,Production,/api/admin/billing/checkout,"Plans: Core £19, Pro £79, Pro+ £149, Enterprise custom"
Stripe Billing Portal,Self-service billing management via Stripe,Shared,Admin,Web,Production,/api/admin/billing/portal,
Subscription Status Check,"Check current plan, limits, usage",Shared,Admin,Web,Production,"/api/admin/billing/status, /admin/billing",
Stripe Webhook Handler,Process subscription lifecycle events,Shared,Admin,Web,Production,/api/webhooks/stripe,"checkout.session.completed, subscription.updated/deleted"
Usage Tracking & Limits,"Monthly quota tracking (quotes, invoices, certs) with enforcement",Shared,Admin,Web,Production,"usageTracking.ts, plans.ts",Soft caps with upgrade prompts
Feature Gating,UI components gated by subscription tier,Shared,Admin,Web,Production,"FeatureGate.tsx, UpgradePrompt.tsx",
Module Add-ons,"CRM (£19), Certificates (£15), Portal (£7), Tools (£7) add-ons for Core plan",Shared,Admin,Web,Production,plans.ts,
Admin Bypass,Bypass all limits for specified emails (testing/partners),Shared,Admin,Web,Production,ADMIN_BYPASS_EMAILS env var,
Email Delivery (Resend),Transactional email sending via Resend,Shared,Admin,Web,Production,"email.ts, emailProcessor.ts",7 email template types
SMS Notifications,"SMS sending with quiet hours, rate limits, credit tracking",Shared,Admin,Web,Functional but rough,"/smsProvider.ts, /api/admin/notifications/test-sms",Twilio stub — MockSMSProvider in dev
